OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SUOMI-100,2018-099AY,2026-01-26T15:11:34.657728,15.24708684,.0011922,97.4413,87.7678,63.8285,296.4177,0,U,43804,999,39182,.76103999E-3,.18821E-3,0
AL-FARABI 2,2018-099AZ,2026-01-26T11:17:30.164928,15.57413974,.00032962,97.4213,100.2822,7.6783,352.4522,0,U,43805,999,39276,.15610004E-2,.11578E-2,0
EUCROPIS,2018-099BB,2026-01-26T14:44:21.038496,15.18328939,.00070709,97.4443,84.6017,77.4307,282.7718,0,U,43807,999,39096,.52458729E-3,.10714E-3,0
POLAR SCOUT YUKON,2018-099BC,2026-01-26T14:39:19.645920,15.31700340,.00063567,97.4849,97.4772,109.2461,250.9469,0,U,43808,999,39179,.94328495E-3,.28888E-3,0
CENTAURI-1,2018-099BD,2026-01-26T14:02:22.431840,15.14630711,.00161825,97.4449,81.3527,99.0912,261.2152,0,U,43809,999,39105,.46771139E-3,.8608E-4,0
NEXTSAT-1,2018-099BF,2026-01-26T13:05:31.893792,15.07752755,.0013879,97.4290,74.1494,102.0248,258.2537,0,U,43811,999,39053,.34218486E-3,.518E-4,0
GLOBAL-2,2018-099BG,2026-01-26T13:27:25.699104,15.07703740,.00042672,97.3770,68.9051,286.0359,74.0400,0,U,43812,999,39056,.32063885E-3,.4835E-4,0
FALCONSAT-6,2018-099BK,2026-01-26T04:00:17.866944,15.26132402,.00178391,97.3951,103.7122,85.2543,330.6470,0,U,43815,999,39206,.29162383E-3,.749E-4,0
SPACEBEE-7,2018-099BL,2026-01-26T04:15:01.859904,15.71846750,.000313,97.4608,109.4258,319.3384,40.7645,0,U,43816,999,39247,.18388E-2,.244782E-2,0
EXCITE,2018-099BP,2026-01-26T02:31:51.666240,15.05768681,.00203941,97.4190,70.3983,115.3336,245.0007,0,U,43819,999,39036,.2934042E-3,.421E-4,0
SEAHAWK-1,2018-099BQ,2026-01-26T14:38:04.244640,15.20065272,.00102456,97.4189,81.3615,87.0053,273.2354,0,U,43820,999,39100,.6448702E-3,.13882E-3,0
GEO-KOMPSAT-2A,2018-100A,2026-01-25T19:28:40.834272,1.00271856,.00005268,0.0126,132.1666,255.7646,157.5917,0,U,43823,999,2620,0,-.33E-5,0
GSAT-11,2018-100B,2026-01-26T14:02:58.481376,1.00271052,.00031375,0.0843,261.1329,156.7850,352.6854,0,U,43824,999,2605,0,-.65E-6,0
